user_id,email,name,signup_date,region,subscription_tier
u_00000,user_0@yahoo.com,User_0,2023-02-27,LATAM,enterprise
u_00001,user_1@verity.ai,User_1,2023-03-01,LATAM,enterprise
u_00002,user_2@yahoo.com,User_2,2023-10-16,LATAM,premium
u_00003,user_3@outlook.com,User_3,2023-11-29,APAC,premium
u_00004,user_4@gmail.com,User_4,2023-02-03,US,free
u_00005,user_5@verity.ai,User_5,2023-09-26,APAC,basic
u_00006,user_6@verity.ai,User_6,2023-10-13,LATAM,enterprise
u_00007,user_7@yahoo.com,User_7,2023-05-19,LATAM,premium
u_00008,user_8@outlook.com,User_8,2023-02-05,LATAM,premium
u_00009,user_9@yahoo.com,User_9,2023-01-07,APAC,enterprise
u_00010,user_10@yahoo.com,User_10,2023-09-06,EU,free
u_00011,user_11@gmail.com,User_11,2023-06-27,US,premium
u_00012,user_12@yahoo.com,User_12,2023-02-14,LATAM,premium
u_00013,user_13@verity.ai,User_13,2023-03-19,US,basic
u_00014,user_14@gmail.com,User_14,2023-12-04,LATAM,premium
u_00015,user_15@gmail.com,User_15,2023-05-04,LATAM,enterprise
u_00016,user_16@verity.ai,User_16,2023-07-18,US,premium
u_00017,user_17@verity.ai,User_17,2023-03-21,LATAM,enterprise
u_00018,user_18@yahoo.com,User_18,2023-08-03,LATAM,enterprise
u_00019,user_19@verity.ai,User_19,2023-01-16,EU,enterprise
u_00020,user_20@verity.ai,User_20,2023-03-19,LATAM,basic
u_00021,user_21@gmail.com,User_21,2023-12-11,LATAM,basic
u_00022,user_22@outlook.com,User_22,2023-10-26,US,basic
u_00023,user_23@gmail.com,User_23,2023-01-25,APAC,premium
u_00024,user_24@outlook.com,User_24,2023-07-30,EU,premium
u_00025,user_25@verity.ai,User_25,2023-11-16,EU,premium
u_00026,user_26@yahoo.com,User_26,2023-03-01,APAC,basic
u_00027,user_27@gmail.com,User_27,2023-08-02,EU,premium
u_00028,user_28@verity.ai,User_28,2023-09-28,EU,free
u_00029,user_29@verity.ai,User_29,2023-03-13,US,free
u_00030,user_30@yahoo.com,User_30,2023-01-29,EU,enterprise
u_00031,user_31@outlook.com,User_31,2023-05-19,US,enterprise
u_00032,user_32@outlook.com,User_32,2023-10-01,EU,enterprise
u_00033,user_33@outlook.com,User_33,2023-08-24,US,free
u_00034,user_34@yahoo.com,User_34,2023-12-31,EU,basic
u_00035,user_35@verity.ai,User_35,2023-07-25,LATAM,premium
u_00036,user_36@yahoo.com,User_36,2023-04-03,LATAM,enterprise
u_00037,user_37@outlook.com,User_37,2023-08-29,EU,free
u_00038,user_38@yahoo.com,User_38,2023-08-28,APAC,enterprise
u_00039,user_39@yahoo.com,User_39,2023-01-16,LATAM,basic
u_00040,user_40@outlook.com,User_40,2023-07-04,APAC,basic
u_00041,user_41@yahoo.com,User_41,2023-09-15,LATAM,free
u_00042,user_42@yahoo.com,User_42,2023-05-10,LATAM,enterprise
u_00043,user_43@outlook.com,User_43,2023-08-13,EU,enterprise
u_00044,user_44@verity.ai,User_44,2023-05-29,US,premium
u_00045,user_45@verity.ai,User_45,2023-11-28,LATAM,basic
u_00046,user_46@yahoo.com,User_46,2023-09-25,APAC,basic
u_00047,user_47@outlook.com,User_47,2023-07-21,APAC,premium
u_00048,user_48@gmail.com,User_48,2023-05-03,APAC,enterprise
u_00049,user_49@outlook.com,User_49,2023-12-23,EU,enterprise
u_00050,user_50@gmail.com,User_50,2023-02-19,US,free
u_00051,user_51@verity.ai,User_51,2023-01-24,LATAM,enterprise
u_00052,user_52@verity.ai,User_52,2023-01-28,LATAM,basic
u_00053,user_53@gmail.com,User_53,2023-04-25,EU,enterprise
u_00054,user_54@verity.ai,User_54,2023-09-10,EU,basic
u_00055,user_55@verity.ai,User_55,2023-05-04,LATAM,free
u_00056,user_56@outlook.com,User_56,2023-09-08,EU,premium
u_00057,user_57@verity.ai,User_57,2023-05-19,APAC,free
